sr,activity_id,sr_problem_description,component_area,final_service_action_code,service_request_number,action_code,activity_type,activity_type_std,asset_install_date,cause,component_subsystem,component_sub_area,corrective_repair_flag,installed_country,modality,modality_grouping,current_modality,problem.1,problem_code,problem_duplicated,problem_found,psi_code,resolution_code_action_taken,service_request_status,service_request_type,service_request_type_std,date,time1,sr_close_date,sr_error_description,sr_error_flag,date,time2,sr_open_date,system_id
884,a1K8b00000QV9bXEAT,"EW// EQUIPAMENTO COM ARTEFATOS NA IMAGEM E ABORTANDO RAIOS-X
MAQUINA PARADA.",,,7499875,,Field Service,Field Service,DEC-31-2020,Hemit,Magnet,,Y,Brazil,MRI,,,"EW// EQUIPAMENTO COM ARTEFATOS NA IMAGEM E ABORTANDO RAIOS-X
MAQUINA PARADA.",,,Abortando raio;Artefato tipo streak,CSPL43,Diagnóstico ;Troca do hemit,Closed,Corrective Repair,Corrective Repair,13-05-2018,17:45,13-05-2018 17:45,,VALID,13-05-2018,03:55,13-05-2018 03:55,CJRBS2000009CN
885,a1K8b00000QVUSpEAP,Performance//falha de scan.,,,7525011,,Field Service,Field Service,OCT-06-2016,HV Tank.,Detector,,Y,Brazil,CT,,,Performance//falha de scan.,,,Abortando scan,CSPI75,"06 Set - Realizada verificação do equipamento e encontrado no log de erros e encontrado o código 60-0319, ""Kv unbalanced detected"".;Realizada análise HVBAT.;Realizada verificação dos cabos de alta tensão e substituição do óleo dos receptáculos.;Executado diagnósticos No-Load KV que falha mesmo quando não estão conectados o tubo e o hemit.;Executado reset TNT e tentativa de calibração de filamento sem sucesso.;Solicitar HV Tank.;08 Set - Substituição do HV Tank. Reset dados TNT e calibração de filamento.;Equipamento liberado para uso.",Closed,Corrective Repair,Corrective Repair,13-05-2018,10:35,13-05-2018 10:35,,VALID,13-05-2018,05:06,13-05-2018 05:06,CJRMX1600014CN
886,a1K8b00000QUTOSEA5,Fallo de discos del Scan raid del DARC,,,7344558,,Field Service,Field Service,OCT-06-2010,Falla de los discos scan data del computador DARC,Tube,,Y,Colombia,CT,CT,CT,Fallo de discos del Scan raid del DARC,,,"El equipo no iniciaba correctamente, no subía la aplicación por problemas en discos del DARC.",CSPE20,"Fecha: 09/Ago/2022.
Serial: 417644CN2.
Equipo: Tomógrafo LightSpeed RT 16.
Fabricación: 2010.
Se cambia el módulo DARC en la consola.
Se carga software al DARC y se reinstala service pack 1.9.
Se verifica que ahora el DARC pasa las pruebas de rendimiento de los discos duros en forma correcta.
Se verifica que el equipo sube normalmente el sistema.
Se hace paciente simulado comprobando funcionamiento adecuado del equipo y del sistema de reconstrucción.
(Versión de software: 11BW46.3_SP1-9-1).
Manual de servicio: 5196837.
Herramientas: herramientas de mano.",Closed,Corrective Repair,Corrective Repair,13-05-2018,13:20,13-05-2018 13:20,,VALID,13-05-2018,05:38,13-05-2018 05:38,2843365RT
887,a1K8b00000QUJbGEAX,Gantry no arranca. No permite hacer exploración. Error 260118295,,,7362515,,Field Service,Field Service,DEC-07-2017,Tanque hemit y tubo de rx,Tube,,Y,Colombia,CT,TUB,TUB,Gantry no arranca. No permite hacer exploración. Error 260118295,,,Equipo aborta el disparo,CSPL20,"Se verifica el estado del rotor del tubo y se encuentra daño en el tanque hemit y el rotor del tubo de rx. Se procede a realizar cambio de estas dos partes , se hacen los ajustes completos de alineacion y calibracion. Test de imagen con phantom y el equipo opera normalmente.",Closed,Corrective Repair,Corrective Repair,13-05-2018,04:47,13-05-2018 04:47,,VALID,13-05-2018,05:46,13-05-2018 05:46,CT1112CO
888,a1K8b00000QVaKJEA1,Equipamento não permite acessar Exames antigos.,,,7531248,,Remote Service,Remote Service,JUN-14-2013,Not Applicable,Detector,,Y,Brazil,CT,,,Equipamento não permite acessar Exames antigos.,,,Equipamento não permite acessar Exames antigos.,CSPE55,"Cliente Sr Francisco (94 99169 3399 informou que o Sistema não estava ermitindo acessar os Exames antigos.
Tentativa de Acesso Remoto sem sucesso.
Cliente reiniciou Todo o Sistema e nenhuma falha ocorreu , acesso aos Exames retonaram ao Normal.
Equipamento monitorado e funcionamento ok.",Closed,Corrective Repair,Corrective Repair,13-05-2018,15:21,13-05-2018 15:21,,VALID,13-05-2018,06:15,13-05-2018 06:15,CT332462HM1
889,a1K8b00000QU0KhEAL,En un paciente hubo artefacto de manchas negras,,,7335594,,Field Service,Field Service,JUL-13-2015,Desconocido.,Host machine,,Y,Argentina,MRI,,,En un paciente hubo artefacto de manchas negras,,,Artefacto de imagen en un estudio.,CSEC06,No se pudo replicar el artefacto.,Closed,Corrective Repair,Corrective Repair,13-05-2018,10:39,13-05-2018 10:39,,VALID,13-05-2018,06:44,13-05-2018 06:44,CT405903HM6
890,a1K8b00000QV1h4EAD,"Máquina não liga após queda de energia, ruído alto a cheiro de queimado.",,,7479051,,Field Service,Field Service,OCT-09-2015,Falha nos capacitores do power pan.,Tube,,Y,Brazil,CT,CT,CT,"Máquina não liga após queda de energia, ruído alto a cheiro de queimado.",,,E equipamento apresentou barulho alto no CT e parou de funcionar.,CSRV01,"Foi verificado que a falha do equipamento se deu devido há um problema no power pan. Foi pedido importação do kit de upgrade para a versão Rayden do power pan pois a versão original não tinha em estoque. Chegado as peças kit de cabos, power pan e inversor, foi realizado a troca das mesmas e o equipamento subiu sem falhas. Foi realizado teste de qualidade de imagem ok.",Closed,Corrective Repair,Corrective Repair,13-05-2018,18:17,13-05-2018 18:17,,VALID,13-05-2018,06:54,13-05-2018 06:54,CT443038CN5
891,a1K8b00000QVEnoEAH,Performance// Não está reconstruindo as imagens.,,,7506231,,Remote Service,Remote Service,JUL-22-2021,Not Applicable,Detector,,Y,Brazil,CT,,,Performance// Não está reconstruindo as imagens.,,,Equipamento não está realizando reconstrução de Imagens.,CSPL63,"Realizado avaliação dos Logs e CONBAT.
Revisado a configuração do ""Database Deletion Settings"".
Sr Sergio (62)98179-0308 informou que Testes de funcionamento e realziação de Exames pelo Cliente ok.",Closed,Corrective Repair,Corrective Repair,13-05-2018,01:14,13-05-2018 01:14,,VALID,13-05-2018,08:15,13-05-2018 08:15,CBDMG2100066HM
892,a1K8b00000QVFruEAH,"equipo fuera de servicio
Equipo presenta falla, no permite realizar estudio ya que se queda parado.
Mantenimiento correctivo
25/Agosto/2022 10:44
Francisco Palacios
5578880597",,,7503929,,Field Service,Field Service,JAN-25-2013,"CABLE DE ALTA TENSION Y TARJETA POWER IF
TUBO DE RAYOS X ; Defective part (please specify).",Host machine,,Y,Mexico HQ,MRI,,,"equipo fuera de servicio
Equipo presenta falla, no permite realizar estudio ya que se queda parado.
Mantenimiento correctivo
25/Agosto/2022 10:44
Francisco Palacios
5578880597",,,NO PERMITE DISPARO ; Problem occurred during fastcal.,CUPBA6,SE CONTINUA CON LA REPARACIÓN SE REMPLAZA CABLE DE ALTA TENSIÓN Y TARJETA POWER IF SEGÚN EL MANUAL DE SERVICIO: 5350501-8EN. SE REALIZA CALIBRACIÓN RÁPIDA Y PRESENTA SPITS. SE REALIZAN PRUEBAS DE DIAGNOSTICO DE HV Y SE DETERMINA TUBO DE RAYOS X DAÑADO. SE SOLICITARÁ D3145T REFACCIÓN PARA SU REMPLAZO. PARA ESTE SERVICIO SE UTILIZÓ LA HERRAMIENTA CALIBRABLE DVM S/N 30640015 FECHA DE CALIBRACIÓN 17/MAY/23; Replaced ___.,Fixed,Corrective Repair,Corrective Repair,13-05-2018,20:10,13-05-2018 20:10,,VALID,13-05-2018,09:29,13-05-2018 09:29,CT319999HM9
893,a1K8b00000QUGscEAH,"Problemas con panel, se engancha en gantry , se desprende",,,7353008,,Field Service,Field Service,MAY-27-2011,"Problema fue causado en el momento en que el tecnologo realiza inclinacion en el gantry, donde se desprende la botonera del gantry, la cual pudo haberse causado debido al desgaste por su uso cotidiano.",Detector,,Y,Chile,CT,CT,CT,"Problemas con panel, se engancha en gantry , se desprende",,,"Se desprende botonera izquierda por dentro del gantry. Esto causa que los cables de la botonera sean arrastrados por el movimiento del gantry desprendiendose y cortando algunos de los cables, y arrancando las pistas de otra tarjeta.",CSPE23,"04-Ago-2022:;Se deberá reponer:;- Cables correspondientes a la tapa delantera del gantry.;- Botonera izquierda;- Parada de emergencia frontal izquierda;- Microfono;- Sensor de paciente en gantry.;- Display frontal superior.;;Se realiza una revision visual de los daños causados, sin encontrar más problemas en primera instancia, de todas formas, posterior al cambio de los repuestos se continuará evaluando posibles daños.;;18-08-2022:;Se realiza instalación de los repuestos solicitados.;Se encuentra cable desconectado en el colimador, pero sin daños aparentes. Se vuelve a conectar.;Se realiza test de apertura de colimador el cual resulta sin problemas.;Se realizan pruebas de movimientos, micrófono, paradas de emergencia. Todo OK;Se realiza fantoma y fast cal. Pruebas OK.;Equipo operativo.",Closed,Corrective Repair,Corrective Repair,13-05-2018,11:18,13-05-2018 11:18,,VALID,13-05-2018,10:44,13-05-2018 10:44,INSERECT1
894,a1K8b00000QVFmGEAX,"MESA ENCONTRA-SE APRESENTANDO PROBLEMAS, ESTÁ TRAVANDO NO MEIO DOS EXAMES, JA REINICIAMOS DUAS VEZES E NÃO VOLTA.",,,7507176,,Field Service,Field Service,JUL-06-2012,Falha no tubo de raio x,Host machine,,Y,Brazil,MRI,,,"MESA ENCONTRA-SE APRESENTANDO PROBLEMAS, ESTÁ TRAVANDO NO MEIO DOS EXAMES, JA REINICIAMOS DUAS VEZES E NÃO VOLTA.",,,Abortando scan,CSPG57,Troca do tubo de raio x (pn d3195T)realizado de acordo com os manuais ;Alinhamento do tudo ok.;Equipamento recalibrado,Closed,Corrective Repair,Corrective Repair,13-05-2018,20:37,13-05-2018 20:37,,VALID,13-05-2018,11:02,13-05-2018 11:02,CT6180
895,a1K8b00000QVACdEAP,Presenta ruido estatico en el pdu,,,7500989,,Field Service,Field Service,OCT-04-2012,Abnormal operation mode.,Magnet,,Y,Mexico HQ,MRI,,,Presenta ruido estatico en el pdu,,,Slow image recon.,CSPE23,Confirmed part ___ failure.,Closed,Corrective Repair,Corrective Repair,13-05-2018,12:23,13-05-2018 12:23,,VALID,13-05-2018,12:42,13-05-2018 12:42,CT283962HM9
896,a1K8b00000QV9yREAT,Presenta ruido estatico en el pdu,,,7500989,,Remote Service,Remote Service,OCT-04-2012,ruido en el pdu  al momento de generar RX,Magnet,,Y,Mexico HQ,MRI,,,Presenta ruido estatico en el pdu,,,ruido en el pdu  al momento de generar RX,CSPE23,"Se establece comunicación con cliente, Ing. Erick Garcia + 52 55 26269200 1941/1942, quien reporta que se presenta ruido en el pdu  al momento de realizar la generación de RX.
Se genera Split para atención en campo.",Closed,Corrective Repair,Corrective Repair,13-05-2018,11:11,13-05-2018 11:11,,VALID,13-05-2018,14:30,13-05-2018 14:30,CT283962HM9
897,a1K8b00000QV9fZEAT,"El sistema operativo no inicia completamente, se queda en una pantalla con fondo verde",,,7500704,,Remote Service,Remote Service,FEB-24-2020,Corrupción de software.,Tube,,Y,Colombia,CT,,,"El sistema operativo no inicia completamente, se queda en una pantalla con fondo verde",,,El sistema no inicia completamente,CSPL19,Se revisó el estado actual del sistema archivos,Closed,Corrective Repair,Corrective Repair,13-05-2018,05:00,13-05-2018 05:00,,VALID,13-05-2018,14:39,13-05-2018 14:39,CJRBX1900113CN
898,a1K8b00000QTrdCEAT,Artefactos en scout y no permite exploracion,,,7327082,,Field Service,Field Service,JUN-28-2018,"Hv tank con spits, no pasa no load kv
Sn 200157BT6
Part 2186730-4",Host machine,,Y,Chile,MRI,CT,CT,Artefactos en scout y no permite exploracion,,,Artefacto de banda.,CGSR10,Cambio de hv tank ;Calibración de filamento ;HHS Scann;Revisión de imágenes en 120 kv y 140 kv ;Axial y hélical técnicas 100 a 250 ma;Sin artefacto ;Part number 2186730-4;Serial 199716BT 2,Closed,Corrective Repair,Corrective Repair,13-05-2018,00:59,13-05-2018 00:59,,VALID,13-05-2018,15:27,13-05-2018 15:27,CT7709CL
899,a1K8b00000QUK3mEAH,No esta dejando realizar QA,,,7362745,,Field Service,Field Service,OCT-18-2016,FRDM modules 3 and 6 presenting bad channels with proximity criteria issues.  Popup message during fastcals notifying the issue.  Scanning can continue normally but service is required.,Host machine,,Y,Puerto Rico,MRI,CT,CT,No esta dejando realizar QA,,,Problem occurred during fastcal.  Fastcal aborted during interconnectivity map sequences due to bad channels and proximity criteria.,CSPH01,- Performed mA ratio diagnostics to determine issue with modules.  Identified modules 3 and 6 for replacement.;- Performed FRDM replacement procedure for detector modules 3 and 6.;- Performed detailed air and phantom calibrations.;- Performed phantom test scans.,Closed,Corrective Repair,Corrective Repair,13-05-2018,16:23,13-05-2018 16:23,,VALID,13-05-2018,16:18,13-05-2018 16:18,HDDGX1600002CN
900,a1K8b00000QUtEQEA1,Performance//artefato na TC de cranio,,,7468795,,Remote Service,Remote Service,JUN-23-2017,Not Applicable,Magnet,,Y,Brazil,MRI,,,Performance//artefato na TC de cranio,,,Artefato Circular em Imagens de Craneo,CSPK09,"Cliente Sr Michel (22)98115-2963 informou que exames de Craneo em Helical apresentando Artefato circular.
Cliente Orientado a realizar uma limpeza do Myllar e rodar a FastCal 2 vezes seguidas para recalibração de Todos os modos de RX.
Após procedimento de FastCAl , testes de funcionamento e realização de Exames ok.",Closed,Corrective Repair,Corrective Repair,13-05-2018,07:53,13-05-2018 07:53,,VALID,13-05-2018,16:30,13-05-2018 16:30,CT468758HM8
901,a1K8b00000QUYyEEAX,No sube el sistema-Rev Maxima-Hosp Kennedy-Centro,,,7446579,,Field Service,Field Service,DEC-11-2020,Software corrupto,Detector,,Y,Colombia,CT,,,No sube el sistema-Rev Maxima-Hosp Kennedy-Centro,,,Cliente reporta que sistema no sube,CSPL63,Se realiza carga de software se verifica funcionamiento con phantomas  recostruccion ok,Closed,Corrective Repair,Corrective Repair,13-05-2018,21:57,13-05-2018 21:57,,VALID,13-05-2018,16:46,13-05-2018 16:46,CBDMG2000082HM
902,a1K8b00000QUNZ1EAP,Case aberto para debrief de peças.,,,7388910,,Field Service,Field Service,FEB-15-2019,Case aberto somente para debrief de part consumível (graxa de lubrificação do gantry).,Host machine,,Y,Brazil,MRI,,,Case aberto para debrief de peças.,,,Case aberto somente para debrief de part consumível (graxa de lubrificação do gantry).,CSPK13,Case aberto somente para debrief de part consumível (graxa de lubrificação do gantry).,Closed,Corrective Repair,Corrective Repair,13-05-2018,18:14,13-05-2018 18:14,,VALID,13-05-2018,17:00,13-05-2018 17:00,CBCQG1800063HM
903,a1K8b00000QUAtREAX,Luz para aviso de Radiação nao apaga.,,,7354898,,Remote Service,Remote Service,MAY-17-2010,Falha no circuito da lampado do cliente ou PDU control board.,Detector,,Y,Brazil,CT,,,Luz para aviso de Radiação nao apaga.,,,Luz para aviso de Radiação nao apaga.,CGS030,02/Ago -Realizado a conferencia com o cliente Sr. Henrique que relatou o problema na lampada de raio-x que fica acessa o tempo todo. Realizado acesso remoto e coleta de logs e analise de erros e histórico de chamados.,Closed,Corrective Repair,Corrective Repair,13-05-2018,08:35,13-05-2018 08:35,,VALID,13-05-2018,19:02,13-05-2018 19:02,1316720-1
904,a1K8b00000QUTP1EAP,"Peço-lhe que faça um estudo que contemple os seguintes aspctos:

Quantos tubos deste equipamento foram trocados entre 2020, 2021 e 2022;
Quanto tempo de uso (intervalo entre as trocas);
Quantidade de exames realizados em cada período;
Quais os SLA´s das etapas:
                 Parada x Diagnóstico
                 Solicitação x Aprovação
                 Compra x Instalação

Agradecemos a priorização deste levantamento para que possamos tomar decisão quanto ao conserto do equipamento.",,,7408103,,Remote Service,Remote Service,NOV-07-2007,Informações sobre histórico de peças do equipamento.,Tube,,Y,Brazil,CT,,,"Peço-lhe que faça um estudo que contemple os seguintes aspctos:

Quantos tubos deste equipamento foram trocados entre 2020, 2021 e 2022;
Quanto tempo de uso (intervalo entre as trocas);
Quantidade de exames realizados em cada período;
Quais os SLA´s das etapas:
                 Parada x Diagnóstico
                 Solicitação x Aprovação
                 Compra x Instalação

Agradecemos a priorização deste levantamento para que possamos tomar decisão quanto ao conserto do equipamento.",,,Cliente solicita histórico de Tubos de raio-X instalados no equipamento.,CSPC19,Acesso remoto realizado e informações repassadas ao cliente por email.,Closed,Corrective Repair,Corrective Repair,13-05-2018,03:36,13-05-2018 03:36,,VALID,13-05-2018,20:55,13-05-2018 20:55,2677316
905,a1K8b00000QVHlFEAX,Llave de servicio para tubo,,,7509607,,Field Service,Field Service,MAY-11-2018,No se había realizado la certificación de tubo,Magnet,,Y,Argentina,MRI,,,Llave de servicio para tubo,,,Faltaba verificación de tubo,CSPK07,Se realiza certificación de tubo,Closed,Corrective Repair,Corrective Repair,14-05-2018,15:52,14-05-2018 15:52,,VALID,14-05-2018,00:13,14-05-2018 00:13,CT3406AR
906,a1K8b00000QUtjCEAT,System no reboot for more than 8 days,,,7469202,,Remote Service,Remote Service,APR-27-2021,8 days without reboot,Tube,,Y,Chile,CT,,,System no reboot for more than 8 days,,,8 days without reboot,CSPL63,"Review booting dates, confirm detection, message sent to console operator",Closed,Corrective Repair,Corrective Repair,14-05-2018,12:49,14-05-2018 12:49,,VALID,14-05-2018,03:20,14-05-2018 03:20,CBDMG2100007HM
907,a1K8b00000QUQSYEA5,"Al momento de hacer un estudio de abdomen presento artefacto, al momento de hacer calibración se queda pasmado el equipo.",,,7402847,,Remote Service,Remote Service,MAR-26-2021,Corrupted calibration and corrupted OS.,Tube,,Y,Mexico HQ,CT,,,"Al momento de hacer un estudio de abdomen presento artefacto, al momento de hacer calibración se queda pasmado el equipo.",,,Artefactos en la imagen  la consola se queda pasmada,CSPL60,"Descargue el error log corri HVBAT y CONBAT, se noto que se realizo un fast cal con mylar sucio y despues genero los artefactos.Se genera WO para ing de campo.",Closed,Corrective Repair,Corrective Repair,14-05-2018,18:34,14-05-2018 18:34,,VALID,14-05-2018,03:47,14-05-2018 03:47,CBDMG2100009HM
908,a1K8b00000QVGDCEA5,Aviso de fallo en los discos duros,,,7507710,,Remote Service,Remote Service,JUL-30-2019,discos mal asentados,Detector,,Y,Colombia,CT,,,Aviso de fallo en los discos duros,,,aparece leyenda de disco dañado al iniciar las aplicaciones,CSPL28,se trabaja con operador para intentar que funcione disco ahora no funcionan mas de uno,Closed,Corrective Repair,Corrective Repair,14-05-2018,16:51,14-05-2018 16:51,,VALID,14-05-2018,04:54,14-05-2018 04:54,CT2499CO
909,a1K8b00000QUpT1EAL,Se corta disparo durante el estudio. menciona que fue por un PM que se realizo el dia miercoles 17 de agsoto.,,,7464615,,Field Service,Field Service,OCT-18-2006,"Pérdida de vacío en tanque de alta tensión, perdida de capacidad aislante, spits.",Tube,,Y,Mexico HQ,CT,,,Se corta disparo durante el estudio. menciona que fue por un PM que se realizo el dia miercoles 17 de agsoto.,,,El sistema detiene el escaneo por spits.,CSPC02,"Se realiza troubleshoot, se encuentra que el tanque de alta tensión, perdió su capacidad aislante, por lo tanto los disparos se interrumpen por protección a una sobre corriente, se intercambia por uno nuevo, se realiza cambio de acuerdo a manual de servicio 2243315-100 Rev 23, se utilizan las siguientes herramientas calibrables:;torquimetro de 5 a 100 lb con numero de serie 1013037790 con proxima fecha de calibracion del 29 de abril de 2023,;torquimetro de de 5 a 40 inlb numero de serie 0917401153 con proxima fecha de calibracion del 14 de octubre de 2022 ;polea marca kito ns LX1B6177037541 con proxima revision el 29 de nov de 2022;multimetro fluke 289 con numero 36720143 con proxima fecha de calibracion el 14 de oct de 2022;Se realizan disparos y el equipo funciona nuevamente según especificación de fabricante.",Fixed,Corrective Repair,Corrective Repair,14-05-2018,18:44,14-05-2018 18:44,,VALID,14-05-2018,05:19,14-05-2018 05:19,8124LS1206736
910,a1K8b00000QUzu0EAD,"Revisar el circuito de alimentación del bus DC del generador de alta tensión del CT, comenzando el recorrido por los res Kxg y Kss en la PDU. Esto, dado que en la revisión de este equipo se encontró esta alerta y puede afectar el tubo y otros elem",,,7477390,,Field Service,Field Service,JUL-11-2019,Revision General del Sistema de Alta Tensiòn.,Tube,,Y,Argentina,CT,,,"Revisar el circuito de alimentación del bus DC del generador de alta tensión del CT, comenzando el recorrido por los res Kxg y Kss en la PDU. Esto, dado que en la revisión de este equipo se encontró esta alerta y puede afectar el tubo y otros elem",,,"Revisar el circuito de alimentación del bus DC del generador de alta tensión del CT, comenzando el recorrido por los res Kxg y Kss en la PDU / No Hubo Pacientes Implicados.",CSPL19,Se realiza Chequeo del Sistema de Alta Tensiòn del CT.;Se ajustan Interconexiones en el PDU. (res Kxg / Kss / Se chequean Fusibles en PDU) Todas las Conexiones Ajustadas.;Test No Load Kv. Test Pass.;Test Kv&mA. Test Pass. Cuentas de Spits Similares en todas las combinaciones de Tecnicas.;Heater Diagnostico. Test Pass.;Pruebas de Imagenes con Phantom. Imagenes realizadas exitosamente.;Equipo Operativo.;;Observaciòn: Tubo Cuenta con 9324 Pacientes.;Version de Software: 16HW14.9_SP1-0,Closed,Corrective Repair,Corrective Repair,14-05-2018,06:41,14-05-2018 06:41,,VALID,14-05-2018,06:37,14-05-2018 06:37,CT5746AR
911,a1K8b00000QVAEAEA5,"equipo envía una ventana Mylar de que no se encuentra limpia y que esta misma puede afectar y mandar artefacto en imagen.
LUZ ADRIANA DOMINGUEZ HDEZ
2281699785",,,7501146,,Field Service,Field Service,MAR-15-2017,Hardware issue,Detector,,Y,Mexico HQ,CT,,,"equipo envía una ventana Mylar de que no se encuentra limpia y que esta misma puede afectar y mandar artefacto en imagen.
LUZ ADRIANA DOMINGUEZ HDEZ
2281699785",,,Ventana de mylar sucia,CSEC09,"Se limpia ventaja de mylar, posterior se ejecuta calibración diaria de manera exitosa, se corren pruebas y se deja equipo operando correctamente.",Closed,Corrective Repair,Corrective Repair,14-05-2018,10:22,14-05-2018 10:22,,VALID,14-05-2018,06:38,14-05-2018 06:38,CTE6PG1600216
912,a1K8b00000QU3O1EAL,"Imagens aparecendo no viewer anguladas. A angulacao vairia o tempo inteiro.

Técnico que esta no equipamento Tiago +55 71 99906-3190",,,7344458,,Field Service,Field Service,MAR-02-2009,Angulação das imagens durante exames,Host machine,,Y,Brazil,MRI,,,"Imagens aparecendo no viewer anguladas. A angulacao vairia o tempo inteiro.

Técnico que esta no equipamento Tiago +55 71 99906-3190",,,Imagens durante exames aparecendo com angulação na view,CSPC19,"Realizado troubleshooting conforme manual de serviço;;Realizado verificação dos Leds na TGP;;Realizado verificação dos cabos e conexões;;Realizado ajustes no encoder;;Realizado verificação no service browser de comunicação , posição do axial encoder; ;Obs: o serviço de diagnóstico foi iniciado após 40 min de atraso do cliente;;;Após realização de todos os testes, a angulação nos exames permanece, com irei solicitar novo encoder para testes;;A máquina foi liberada para uso;;;05.08. - Realizado novos ajustes, avaliado alinhamento de laser; realizado testes de imagens na qual não estava reconstruindo as imagens, com isso foi realizado limpeza da fila do recon e resolveu o problema; após esta ação, foi identificado novamente que o encontre estava apresentando problemas de funcionamento. Previsão de entrega da peça está para dia 08.08; ;;08.08 - Realizado troca da peça com chave allen 8 mm; realizado caracterização do c-pulse; realizado testes de funcionamento do encoder via software; após os testes com phantom de serviço, solicitei ao técnico para realizar dois exames na qual as imagens não rotacionaram;;Deixarei a máquina em observação até sexta-feira dia 12.08, se após essa data o problema não ocorrer,  encerrarei o chamado.;;Máquina foi liberada para uso.",Closed,Corrective Repair,Corrective Repair,14-05-2018,09:25,14-05-2018 09:25,,VALID,14-05-2018,07:42,14-05-2018 07:42,2748467
913,a1K8b00000QUULSEA5,No se puede ver la base de datos,,,7410419,,Field Service,Field Service,JUN-24-2016,Abnormal operation mode.,Detector,,Y,Mexico HQ,CT,CT,CT,No se puede ver la base de datos,,,System didn't boot.,CSPE84,Confirmed part ___ failure.,Closed,Corrective Repair,Corrective Repair,14-05-2018,03:09,14-05-2018 03:09,,VALID,14-05-2018,08:04,14-05-2018 08:04,CTBAVS15079
914,a1K8b00000QTrHdEAL,Tapa de pedal de la mesa suelta,,,7327035,,Field Service,Field Service,JUN-27-2008,"base metalica cubierta, cubierta",Detector,,Y,Colombia,CT,CT,CT,Tapa de pedal de la mesa suelta,,,Cliente reporta tapa suelta de pedal,CUPG08,"- Se remueve pedal del lado derecho
- Al reemplazar la cubierta se observa que la base metálica donde va el tornillo que ajuste con la tapa grande está quebrada también, por lo tanto se debe solicitar
- Se deja cubierta, tornillo y tapita del pedal en custodia del cliente esperando que llegue la otra parte para reemplazaralas todas",Closed,Corrective Repair,Corrective Repair,14-05-2018,16:12,14-05-2018 16:12,,VALID,14-05-2018,10:14,14-05-2018 10:14,2717615VCT-A
915,a1K8b00000QUe21EAD,Se detectan artefactos con forma circular en los cortes de la imagen,,,7389510,,Field Service,Field Service,FEB-04-2019,Filtro y temperatura,Magnet,,Y,Mexico HQ,MRI,,,Se detectan artefactos con forma circular en los cortes de la imagen,,,Artefacto intermitente,CSEC12,"Apoyo / soporte a Sergio Morales. Cambio de filtro Colin ador, mylar y guías de mesa. Manual de servicio: 5487206-8EN",Closed,Corrective Repair,Corrective Repair,14-05-2018,19:53,14-05-2018 19:53,,VALID,14-05-2018,11:58,14-05-2018 11:58,CT585956GE4
916,a1K8b00000QU2wbEAD,La camara de pocisionamiento no funciona.,,,7344655,,Remote Service,Remote Service,JUL-12-2021,#NAME?,Host machine,,Y,Mexico HQ,MRI,,,La camara de pocisionamiento no funciona.,,,#NAME?,CSPL63,"* El equipo no esta mostrando conexion con la camara, no existe un dispositivo Intel Corp, no estan los 5 uvcvideo con Bandwidth 5000M
* El cliente reinicio varias veces el miercoles, pero ayer no habia reiniciado. Hoy Viernes 29 de Julio se reinicio, pero continua sin mostrar conexion con la camara, el ultimo posicionamiento exito de la camara, se observa en:
260112044   Auto Position is completed, cradle is ready for scan. Wed Jul 27 2022  20:48:54",Closed,Corrective Repair,Corrective Repair,14-05-2018,13:54,14-05-2018 13:54,,VALID,14-05-2018,14:14,14-05-2018 14:14,CBDMG2000081HM
917,a1K8b00000QUaL7EAL,No sube el sistema-Rev Maxima-Hosp Kennedy-Centro,,,7446579,,Field Service,Field Service,DEC-11-2020,Software Corrupted,Magnet,,Y,Colombia,MRI,,,No sube el sistema-Rev Maxima-Hosp Kennedy-Centro,,,"Aplicación de Ct no hace Boot Up,",CSPL63,"- asistencia en sitio, se realiza reset de Data Base, el problema continúa.____;- se realiza recarga de Software Completa.____;- pruebas de imagen y reconstrucción.____",Closed,Corrective Repair,Corrective Repair,14-05-2018,08:42,14-05-2018 08:42,,VALID,14-05-2018,14:38,14-05-2018 14:38,CBDMG2000082HM
918,a1K8b00000QUjvtEAD,Se detiene la exploración de manera intermitente y aparecen artefactos líneas atravesadas,,,7458445,,Field Service,Field Service,JAN-29-2016,Tubo RX defectuoso,Magnet,,Y,Argentina,MRI,,,Se detiene la exploración de manera intermitente y aparecen artefactos líneas atravesadas,,,No dispara,CSPJ03,"Extracción de tubo, limpieza, cambio de set de capacitores, alineación y calibración de tubo",Closed,Corrective Repair,Corrective Repair,14-05-2018,17:47,14-05-2018 17:47,,VALID,14-05-2018,14:44,14-05-2018 14:44,CT421481HM3
